Site Number,Old Position Geometry,Old Address,Old Latitude,Old Longitude
0040001134917,POINT(-111.90284 50.598562),   COUNTY OF NEWELL NO 4 AB,50.598461624978306,-111.90333191441418
0040315544004,POINT(-111.872958 50.584521),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040443749007,POINT(-111.902011 50.596746),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040401692012,POINT(-111.821046 50.820668),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040001541792,POINT(-111.75913 50.645509),   COUNTY OF NEWELL NO 4 AB,50.645495000000004,-111.75900333333335
0040508421000,POINT(-111.875963 50.644178),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040509022003,POINT(-111.866242 50.587112),301 JOHNSONS RD COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040308873006,POINT(-111.872605 50.646235),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040310238003,POINT(-111.898052 50.663447),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040306840007,POINT(-111.967022 50.274124),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040110564637,POINT(-111.839113 50.717797),   COUNTY OF NEWELL NO 4 AB,50.71778,-111.83912500000001
0040000493915,POINT(-111.92099 50.598774),   COUNTY OF NEWELL NO 4 AB,50.59872000000001,-111.92164666666669
0040315511001,POINT(-111.83852 50.571436),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040315484005,POINT(-111.782502 50.608222),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040745541976,POINT(-111.555997 50.699677),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040625412626,POINT(-111.552568 50.683887),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040304617002,POINT(-111.833946 50.480033),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040000283743,POINT(-111.768219 50.549147),   COUNTY OF NEWELL NO 4 AB,50.54959333333333,-111.76848
0040283721004,POINT(-111.903552 50.485425),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040308817001,POINT(-111.92091 50.730665),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040323872000,POINT(-111.665965 50.179977),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040266832004,POINT(-111.779707 50.710193),   COUNTY OF NEWELL NO 4 AB,50.710180000000015,-111.77972000000001
0040310306000,POINT(-111.873335 50.748072),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040509513008,POINT(-111.921002 50.600005),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040504178000,POINT(-111.851794 50.481853),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040310220004,POINT(-111.896011 50.635946),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040452757004,POINT(-111.94216 50.744038),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040552163002,POINT(-111.697561 50.437395),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040304655000,POINT(-111.750249 50.456512),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040449088001,POINT(-111.940357 50.695416),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040315488000,POINT(-111.775879 50.589685),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040323972008,POINT(-111.722265 50.259908),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040323969006,POINT(-111.723188 50.241602),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040323997004,POINT(-111.83647 50.230335),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040280891000,POINT(-111.835629 50.6161),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040315508008,POINT(-111.830285 50.600798),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040316815000,POINT(-111.902674 50.600418),   COUNTY OF NEWELL NO 4 AB,50.600525,-111.90236333333333
0040306908005,POINT(-112.025941 50.367688),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040581357010,POINT(-111.78108 50.707385),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
0040310285000,POINT(-111.89676 50.716863),   COUNTY OF NEWELL NO 4 AB,50.61591,-111.9449
